九龙仓年华里	10489	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城公园壹号	11264	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
新城熙园	11496	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
西新桥二村	7250	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
江南春晓花园	10466	普通住宅	0.4元/㎡/月	71068m²	600户	2000年	地面和地下停车位	暂无数据	暂无数据	金程房产开发有限公司	常州城中物业公司	
新城长岛(普宅)	11566	普通住宅	0.69元/平方米·月	600000m²	665户	2010年	665	1.5	35%(一般)	新城地产	新城物业	
兰陵尚品	12671	普通住宅	0.7元/平方米·月	160000m²	450户	2012年	202	2	33%(一般)	常州市华强房地产开发有限公司	常州市华强物业管理有限公司	
福鑫园	8946	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
朱庄花园	7457	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
河景花园	14184	普通住宅	0.8元/平方米·月	210000m²	1379户	2006年	地下454个	2.5	30%(一般)	常州华丰建设开发有限公司	常州华丰物业有限公司	
莱蒙双子星座	16248	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	13%(低)	暂无数据	暂无资料	
